predictor,train,test,1,2,3,4,5
max_temp,0.00773999999999997,-0.00105999999999995,0.00249999999999995,-0.00628000000000006,0.0307000000000001,-0.0336799999999999,0.00624000000000002
min_temp,0.0236200000000001,-0.00807999999999998,0.0275,0.03906,0.0600400000000001,-0.03496,0.09376
mixed_shrub,0.02078,0.02244,0.0375,0.0468399999999999,-0.0252999999999999,0.0138200000000001,0.03
ndvi,0.01456,0.01432,0.005,-0.02346,-0.03862,0.00130000000000008,0.0325
precip_wet_quarter,0.02768,0.03712,0.0125,-0.0375400000000001,0.05072,0.02756,0.075
road_density,0.01232,0.00131999999999999,-0.0125000000000001,0.00153999999999999,-0.01596,-0.0124599999999999,-0.00250000000000006
sagebrush,0.05998,0.1522,0.1225,0.04374,0.19868,0.0963000000000001,0.05
