predictor,train,test,1,2,3,4,5
conifer_forest,0.02696,0.0800400000000001,0.03998,0.21124,0.03248,0.00749999999999995,0.07506
min_temp,0.000700000000000034,0.0118400000000001,0.02662,0.005,-0.0375000000000001,-0.10126,0.04068
mixed_shrub,0.01554,0.00846000000000002,0.04796,0.0650000000000001,-0.035,0.07374,0.04692
ndvi,0.00192000000000003,0.00904000000000005,0.04262,0.01,0.01498,-0.015,0.00939999999999996
road_density,0.00453999999999999,0.02114,0.00263999999999998,0.0125000000000001,-0.0125000000000001,-0.02,0.00629999999999997
sagebrush,0.05458,0.0791200000000001,0.21864,0.215,-0.0125000000000001,0.215,0.02818
