predictor,train,1,2,3,4,5,6
asage_1km,0.24212,0.41342,0.20954,0.23454,0.2884,0.2197,0.29468
bio5,0,0.00790000000000002,0.0417000000000001,0.0774,0.047,0.053,0.0823
mix_18km,0.2005,0.00790000000000002,0.1417,0.0834,0.047,0.053,0.20908
ndvi_270,0,0.00790000000000002,0.0417000000000001,0.0774,0.047,0.053,0.0823
rddens_18km,0.03272,0.00790000000000002,0.01548,0.0774,0.047,0.053,0.0806600000000001
tri_18km,0.0350200000000001,0.01106,0.1107,0.07504,0.09592,0.1379,0.13006
