predictor,train,1,2,3,4,5
asage_1km,0.14772,0.12186,0.04618,0.17006,0.1137,0.08824
bio6,0.04784,0.0258,0.0230400000000001,0,0,-0.00690000000000002
cfrst_18km,0.12866,0.11898,0.07526,0.03442,0.09748,0.11948
mix_18km,0.0211,0,0.09622,0,0,-0.05828
ndvi_270,0,0,0.0162,0,0.03374,0
rddens_18km,0,-0.02222,0,0,0,0
