predictor,train,test,1,2,3,4,5
max_temp,0,0,0,0,0,0,0.0525
min_temp,0.0420600000000001,0.01052,-0.0275000000000001,0.0600000000000001,0,0.02188,-0.0225
mixed_shrub,0.12526,0.05694,0.19872,0.0775,0.11464,0.18438,0.24
ndvi,0,0,0,0,0,0,0.1
precip_wet_quarter,0.07826,0.04392,0.0974999999999999,0.16,-0.112,0.05936,0
road_density,0.02212,0.00127999999999995,0.0475,0,0,0,0
sagebrush,0.12696,0.111,0.135,0.0625,0.06398,0.07812,0.0449999999999999
