predictor,train,test,1,2,3,4,5
max_temp,0.00522,0.000900000000000012,-0.01,0.00250000000000006,-0.03866,0,0
min_temp,0.03012,0.00949999999999995,0.0175,-0.005,0.0386799999999999,0.03438,0.0225000000000001
mixed_shrub,0.01714,0.00357999999999992,0.0475,0.00626000000000004,0.09866,0.03908,0.01
ndvi,0.02008,0.0297799999999999,0.01124,0,0.0266799999999999,0.05468,0.01
precip_wet_quarter,0.03962,0.0306799999999999,0.0225,0.08252,-0.0880000000000001,0.15312,0.12376
road_density,0.0228400000000001,0.00453999999999999,-0.00750000000000006,-0.00125999999999993,-0.0053200000000001,0.06878,0.0875
sagebrush,0.04878,0.04992,0.11626,0.11,0.0173399999999999,-0.02654,0.1375
