predictor,train,1,2,3,4,5,6
asage_1km,0.10416,0.15224,0.1284,0.17658,0.23462,0.3202,0.21848
bio6,0.0289200000000001,0.0424599999999999,0.00124000000000002,0.05518,0.04618,0.1488,0.17496
cfrst_18km,0.12188,0.25862,0.18762,0.14278,0.3436,0.19636,0.17218
mix_18km,0.1856,0.30576,-0.0124000000000001,0.0551999999999999,0.0385000000000001,0.1488,0.0221800000000001
ndvi_270,0,0.0573,-0.0124000000000001,0.0551999999999999,0.0385000000000001,0.1488,0.1064
rddens_18km,0.01024,0.0573,-0.0124000000000001,0.02486,0.0385000000000001,0.1488,0.1064
