predictor,train,1,2,3,4,5
asage_1km,0.16176,0.21876,0.26372,0.31934,0.3569,0.1979
bio5,0,0.0903,0.0155999999999999,0.0484,0.0719,0.234
bio6,0.0716600000000001,0.0916800000000001,0.0155999999999999,0.0484,0.0719,0.10552
mix_18km,0.09404,0.0889200000000001,0.0155999999999999,0.0484,0.07316,0.17566
ndvi_270,0.03332,0.0903,0.0155999999999999,0.0484,0.0719,0.1319
rddens_18km,0,0.0743400000000001,0.0155999999999999,0.0484,0.0719,0.11804
tri_18km,0.03618,0.14586,0.08622,0.15352,0.0318999999999999,0.18332
