predictor,train,test,1,2,3,4,5
conifer_forest,0.1397,0.14964,0.14928,0.3075,0.02,0.345,0.10312
min_temp,0.04666,0.01558,0.0453,0.005,-0.0225,-0.115,0
mixed_shrub,0,0,0,0,-0.085,0,0
ndvi,0,0,0,0,-0.015,0,0
road_density,0.0355800000000001,-0.01066,0.04264,-0.0175,0.015,0.005,-0.0343599999999999
sagebrush,0.15478,0.14702,0.18932,0.115,0.03374,0.12,0.22502
