predictor,train,test,1,2,3,4,5
min_temp,0.00282000000000004,-0.00177999999999989,0.0311399999999999,0.01308,0.03396,0.02238,-0.0162
mixed_shrub,0.00697999999999999,-0.01,0.07078,0.09838,0.03876,0.0959,0.15066
ndvi,0.01306,0.0532600000000001,0.07556,0.0383,-0.01156,-0.02108,0.03132
road_density,0.00363999999999998,0.0207200000000001,0.02128,-0.00902000000000003,-0.00458000000000003,0.00141999999999998,0.01766
sagebrush,0.0217000000000001,0.0458200000000001,0.0609999999999999,-0.04616,-0.05414,0.0131,0.04796
tri,0.00363999999999998,0.0435000000000001,0.02172,0.01296,-0.0989800000000001,0.01938,0.07528
