predictor,train,test,1,2,3,4,5
min_temp,0.0448000000000001,-0.00221999999999989,0.0674199999999999,-0.07692,0.04266,0.0231,-0.0168400000000001
mixed_shrub,-0.00648000000000004,-0.0081,0.01554,0.0515,0.02188,-0.03278,0.0155799999999999
ndvi,0.10124,0.05026,0.00423999999999991,0.09416,0.1128,0.0715,0.0925
road_density,0.00512000000000001,0.00260000000000005,0.027,-0.04838,-0.0396000000000001,0.0202,0.01866
sagebrush,0.02172,-0.00639999999999996,0.02872,-0.04316,-0.0412,0.0165799999999999,-0.00630000000000008
tri,0.0232600000000001,0.0204000000000001,-0.00744,0.0160199999999999,-0.01572,-0.00636000000000003,-0.00112000000000001
