predictor,train,test,1,2,3,4,5
max_temp,0,-0.00835999999999992,0.02002,-0.01,0.00250000000000006,-0.02624,-0.00873999999999997
min_temp,0.00293999999999994,0.0104000000000001,0.10668,0.0275,0.0600000000000001,-0.01126,0.01376
mixed_shrub,0.000319999999999987,0.01822,-0.02,-0.00750000000000006,0.0325,-0.0162600000000001,0.005
ndvi,0.00322,0.0237200000000001,-0.01,0.0225,0.0675,-0.0324800000000001,0.00873999999999997
precip_wet_quarter,0.00856000000000001,0.0484,0.08668,-0.0125000000000001,0.06376,0.0175,0.01752
road_density,0.000619999999999954,-0.00139999999999996,0.03166,-0.0125000000000001,0.00250000000000006,-0.03126,0.0112599999999999
sagebrush,0.03028,0.12138,0.13,0.11626,0.2,0.015,0.10126
