predictor,train,test,1,2,3,4,5
conifer_forest,0.02758,-0.0172600000000001,-0.00427999999999995,0.0125799999999999,0.02,0.00429999999999997,0.00534000000000001
max_temp,0.0218400000000001,0.0192599999999999,-0.00985999999999998,0.0263,-0.00673999999999997,0.000299999999999967,-0.00517999999999996
min_temp,0.00268000000000002,-0.000820000000000043,0.00360000000000005,0.0150999999999999,0,-0.0150400000000001,0.00187999999999999
mixed_shrub,0.00990000000000002,0.01422,0.03722,0.00693999999999995,0.0359999999999999,-0.0147600000000001,0.01686
ndvi,0.04438,0.0271400000000001,0.04678,0.00775999999999999,0.0704199999999999,0.0166999999999999,0.0119
precip_wet_quarter,0.01406,0.00961999999999996,-0.01732,0.00324000000000002,0.02872,-0.00848000000000004,0.00402000000000002
road_density,0.0172600000000001,0.014,-0.12146,0.0172399999999999,0.01684,-0.0211600000000001,-0.03488
sagebrush,0.05278,-0.01756,0.05068,0.00817999999999997,0.0667,0.01856,0.0348200000000001
tri,0.0722200000000001,0.0309,0.03612,0.04418,0.07458,0.03286,0.01108
